1 9fc00d5c 08 0000009a
1 9fc00d60 03 000000a9
1 9fc00d64 04 000000a9
1 9fc00d6c 05 0000002c
1 9fc00d70 02 000000d5
1 9fc00d7c 06 00000084
1 9fc00d80 08 00000159
1 9fc00d88 0a 00000006
1 9fc00d8c 03 00000001
1 9fc00d90 05 00000005
1 9fc00d98 09 0000000b
1 9fc00d9c 04 0000000a
1 9fc00da0 07 0000000b
1 9fc00da4 03 00000007
1 9fc00da8 08 0000000c
1 9fc00dac 06 00000000
1 9fc00db0 0a 00000000
1 9fc00db4 12 00000010
1 9fc00db8 02 00000006
1 9fc00dc8 05 00000037
1 9fc00dcc 09 0000003d
1 9fc00dd8 07 0000003d
1 9fc00ddc 04 0000006e
1 9fc00de0 02 000000ab
1 9fc00dec 05 00000054
1 9fc00df0 09 000000ff
1 9fc00df8 07 00000008
1 9fc00dfc 03 00000001
1 9fc00e00 06 00000007
1 9fc00e08 08 0000000b
1 9fc00e0c 02 00000006
1 9fc00e10 04 0000000b
1 9fc00e14 03 00000000
1 9fc00e18 07 0000000c
1 9fc00e1c 18 9fc01ba0
1 9fc00e20 0f 9fc01be0
1 9fc00e24 0e 9fc01c20
1 9fc00e28 0d 9fc01c60
1 9fc00e2c 09 00000008
1 9fc00e3c 05 0000004d
1 9fc00e40 06 00000055
1 9fc00e4c 02 00000055
1 9fc00e50 06 00000010
1 9fc00e54 04 00000042
1 9fc00e58 09 00000097
1 9fc00e64 08 00000000
1 9fc00e68 07 00000097
1 9fc00e74 0b 9fc023b0
1 9fc00e78 14 00000040
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc023e0
1 9fc00e84 11 9fc017d0
1 9fc00e88 10 9fc017d4
1 9fc00e8c 1f 9fc017d8
1 9fc00e94 19 9fc017dc
1 9fc00ca8 0e 00000007
1 9fc00cac 0f 0000000c
1 9fc00cb0 0d 00000005
1 9fc00cb8 08 00000007
1 9fc00cbc 05 00000002
1 9fc00cc0 07 00000008
1 9fc00cc4 03 00000007
1 9fc00cc8 09 0000000d
1 9fc00ccc 06 00000000
1 9fc00cd0 0a 00000000
1 9fc00cd4 0b 9fc023e8
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01b98
1 9fc00ce0 0f 9fc01bd8
1 9fc00ce4 0e 9fc01c18
1 9fc00ce8 02 00000054
1 9fc00cf8 0d 9fc01c58
1 9fc00cfc 04 00000023
1 9fc00d00 08 00000077
1 9fc00d04 04 00000077
1 9fc00d0c 05 00000010
1 9fc00d10 02 00000087
1 9fc00d1c 06 0000005b
1 9fc00d20 03 000000e2
1 9fc00d28 09 0000000f
1 9fc00d2c 07 0000000c
1 9fc00d30 04 0000000e
1 9fc00d38 08 00000007
1 9fc00d3c 05 00000004
1 9fc00d40 06 00000008
1 9fc00d44 09 0000000b
1 9fc00d48 07 0000000d
1 9fc00d4c 02 000000b4
1 9fc00d5c 08 00000062
1 9fc00d60 03 00000116
1 9fc00d64 04 00000116
1 9fc00d6c 05 00000020
1 9fc00d70 02 00000136
1 9fc00d7c 06 0000008f
1 9fc00d80 08 000001c5
1 9fc00d88 0a 00000006
1 9fc00d8c 03 0000000c
1 9fc00d90 05 00000005
1 9fc00d98 09 00000007
1 9fc00d9c 04 0000000a
1 9fc00da0 07 00000008
1 9fc00da4 03 00000007
1 9fc00da8 08 0000000d
1 9fc00dac 06 00000000
1 9fc00db0 0a 00000000
1 9fc00db4 12 00000010
1 9fc00db8 02 00000048
1 9fc00dc8 05 00000023
1 9fc00dcc 09 0000006b
1 9fc00dd8 07 0000006b
1 9fc00ddc 04 00000050
1 9fc00de0 02 000000bb
1 9fc00dec 05 0000005b
1 9fc00df0 09 00000116
1 9fc00df8 07 00000008
1 9fc00dfc 03 0000000c
1 9fc00e00 06 00000007
1 9fc00e08 08 00000007
1 9fc00e0c 02 00000006
1 9fc00e10 04 00000008
1 9fc00e14 03 00000000
1 9fc00e18 07 0000000d
1 9fc00e1c 18 9fc01ba0
1 9fc00e20 0f 9fc01be0
1 9fc00e24 0e 9fc01c20
1 9fc00e28 0d 9fc01c60
1 9fc00e2c 09 00000060
1 9fc00e3c 05 00000031
1 9fc00e40 06 00000091
1 9fc00e4c 02 00000091
1 9fc00e50 06 00000010
1 9fc00e54 04 00000030
1 9fc00e58 09 000000c1
1 9fc00e64 08 00000000
1 9fc00e68 07 000000c1
1 9fc00e74 0b 9fc023f0
1 9fc00e78 14 00000080
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc02420
1 9fc00e84 11 9fc01810
1 9fc00e88 10 9fc01814
1 9fc00e8c 1f 9fc01818
1 9fc00e94 19 9fc0181c
1 9fc00ca8 0e 00000007
1 9fc00cac 0f 00000005
1 9fc00cb0 0d 00000005
1 9fc00cb8 08 0000000e
1 9fc00cbc 05 00000002
1 9fc00cc0 07 0000000d
1 9fc00cc4 03 00000007
1 9fc00cc8 09 00000001
1 9fc00ccc 06 00000000
1 9fc00cd0 0a 00000000
1 9fc00cd4 0b 9fc02428
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01b98
1 9fc00ce0 0f 9fc01bd8
1 9fc00ce4 0e 9fc01c18
1 9fc00ce8 02 00000023
1 9fc00cf8 0d 9fc01c58
1 9fc00cfc 04 00000046
1 9fc00d00 08 00000069
1 9fc00d04 04 00000069
1 9fc00d0c 05 0000001a
1 9fc00d10 02 00000083
1 9fc00d1c 06 00000007
1 9fc00d20 03 0000008a
1 9fc00d28 09 0000000f
1 9fc00d2c 07 00000005
1 9fc00d30 04 0000000e
1 9fc00d38 08 0000000e
1 9fc00d3c 05 00000004
1 9fc00d40 06 0000000d
1 9fc00d44 09 0000000b
1 9fc00d48 07 00000001
1 9fc00d4c 02 0000004b
1 9fc00d5c 08 000000c4
1 9fc00d60 03 0000010f
1 9fc00d64 04 0000010f
1 9fc00d6c 05 00000034
1 9fc00d70 02 00000143
1 9fc00d7c 06 0000000b
1 9fc00d80 08 0000014e
1 9fc00d88 0a 00000006
1 9fc00d8c 03 00000005
1 9fc00d90 05 00000005
1 9fc00d98 09 0000000e
1 9fc00d9c 04 0000000a
1 9fc00da0 07 0000000d
1 9fc00da4 03 00000007
1 9fc00da8 08 00000001
1 9fc00dac 06 00000000
1 9fc00db0 0a 00000000
1 9fc00db4 12 00000010
1 9fc00db8 02 0000001e
1 9fc00dc8 05 00000046
1 9fc00dcc 09 00000064
1 9fc00dd8 07 00000064
1 9fc00ddc 04 00000082
1 9fc00de0 02 000000e6
1 9fc00dec 05 00000007
1 9fc00df0 09 000000ed
1 9fc00df8 07 00000008
1 9fc00dfc 03 00000005
1 9fc00e00 06 00000007
1 9fc00e08 08 0000000e
1 9fc00e0c 02 00000006
1 9fc00e10 04 0000000d
1 9fc00e14 03 00000000
1 9fc00e18 07 00000001
1 9fc00e1c 18 9fc01ba0
1 9fc00e20 0f 9fc01be0
1 9fc00e24 0e 9fc01c20
1 9fc00e28 0d 9fc01c60
1 9fc00e2c 09 00000028
1 9fc00e3c 05 00000062
1 9fc00e40 06 0000008a
1 9fc00e4c 02 0000008a
1 9fc00e50 06 00000010
1 9fc00e54 04 0000004e
1 9fc00e58 09 000000d8
1 9fc00e64 08 00000000
1 9fc00e68 07 000000d8
1 9fc00e74 0b 9fc02430
1 9fc00e78 14 000000c0
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc02460
1 9fc00e84 11 9fc01850
1 9fc00e88 10 9fc01854
1 9fc00e8c 1f 9fc01858
1 9fc00e94 19 9fc0185c
1 9fc00ca8 0e 00000007
1 9fc00cac 0f 00000008
1 9fc00cb0 0d 00000005
1 9fc00cb8 08 0000000d
1 9fc00cbc 05 00000002
1 9fc00cc0 07 00000002
1 9fc00cc4 03 00000007
1 9fc00cc8 09 00000009
1 9fc00ccc 06 00000000
1 9fc00cd0 0a 00000000
1 9fc00cd4 0b 9fc02468
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01b98
1 9fc00ce0 0f 9fc01bd8
1 9fc00ce4 0e 9fc01c18
1 9fc00ce8 02 00000038
1 9fc00cf8 0d 9fc01c58
1 9fc00cfc 04 00000041
1 9fc00d00 08 00000079
1 9fc00d04 04 00000079
1 9fc00d0c 05 00000004
1 9fc00d10 02 0000007d
1 9fc00d1c 06 0000003f
1 9fc00d20 03 000000bc
1 9fc00d28 09 0000000f
1 9fc00d2c 07 00000008
1 9fc00d30 04 0000000e
1 9fc00d38 08 0000000d
1 9fc00d3c 05 00000004
1 9fc00d40 06 00000002
1 9fc00d44 09 0000000b
1 9fc00d48 07 00000009
1 9fc00d4c 02 00000078
1 9fc00d5c 08 000000b6
1 9fc00d60 03 0000012e
1 9fc00d64 04 0000012e
1 9fc00d6c 05 00000008
1 9fc00d70 02 00000136
1 9fc00d7c 06 00000063
1 9fc00d80 08 00000199
1 9fc00d88 0a 00000006
1 9fc00d8c 03 00000008
1 9fc00d90 05 00000005
1 9fc00d98 09 0000000d
1 9fc00d9c 04 0000000a
1 9fc00da0 07 00000002
1 9fc00da4 03 00000007
1 9fc00da8 08 00000009
1 9fc00dac 06 00000000
1 9fc00db0 0a 00000000
1 9fc00db4 12 00000010
1 9fc00db8 02 00000030
1 9fc00dc8 05 00000041
1 9fc00dcc 09 00000071
1 9fc00dd8 07 00000071
1 9fc00ddc 04 00000014
1 9fc00de0 02 00000085
1 9fc00dec 05 0000003f
1 9fc00df0 09 000000c4
1 9fc00df8 07 00000008
1 9fc00dfc 03 00000008
1 9fc00e00 06 00000007
1 9fc00e08 08 0000000d
1 9fc00e0c 02 00000006
1 9fc00e10 04 00000002
1 9fc00e14 03 00000000
1 9fc00e18 07 00000009
1 9fc00e1c 18 9fc01ba0
1 9fc00e20 0f 9fc01be0
1 9fc00e24 0e 9fc01c20
1 9fc00e28 0d 9fc01c60
1 9fc00e2c 09 00000040
1 9fc00e3c 05 0000005b
1 9fc00e40 06 0000009b
1 9fc00e4c 02 0000009b
1 9fc00e50 06 00000010
1 9fc00e54 04 0000000c
1 9fc00e58 09 000000a7
1 9fc00e64 08 00000000
1 9fc00e68 07 000000a7
1 9fc00e74 0b 9fc02470
1 9fc00e78 14 00000100
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc024a0
1 9fc00e84 11 9fc01890
1 9fc00e88 10 9fc01894
1 9fc00e8c 1f 9fc01898
1 9fc00e94 19 9fc0189c
1 9fc00e98 19 9fc0179c
1 9fc00e9c 14 9fc01798
1 9fc00ea0 11 9fc01794
1 9fc00ea4 0c 9fc01f90
1 9fc00ea8 18 9fc017ac
1 9fc00eac 12 9fc017a8
1 9fc00eb0 10 9fc017a4
1 9fc00eb4 13 9fc01c90
1 9fc00eb8 15 9fc01d50
1 9fc00ebc 16 9fc01d10
1 9fc00ec0 17 9fc01cd0
1 9fc00ed4 1e 9fc017a0
1 9fc00c90 0c 9fc023a0
1 9fc00c94 10 9fc017a4
1 9fc00c98 1f 9fc017a8
1 9fc00c9c 19 9fc017ac
1 9fc00ca0 11 9fc017a0
1 9fc00ca4 14 00000000
1 9fc00ca8 0e 0000000a
1 9fc00cac 0f 0000000d
1 9fc00cb0 0d 00000007
1 9fc00cb8 08 00000002
1 9fc00cbc 05 00000006
1 9fc00cc0 07 00000007
1 9fc00cc4 03 00000005
1 9fc00cc8 09 00000006
1 9fc00ccc 06 000000a8
1 9fc00cd0 0a 00000159
1 9fc00cd4 0b 9fc023a8
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01c98
1 9fc00ce0 0f 9fc01cd8
1 9fc00ce4 0e 9fc01d18
1 9fc00ce8 02 00000082
1 9fc00cf8 0d 9fc01d58
1 9fc00cfc 04 0000000e
1 9fc00d00 08 00000090
1 9fc00d04 04 00000138
1 9fc00d0c 05 0000002a
1 9fc00d10 02 00000162
1 9fc00d1c 06 0000001e
1 9fc00d20 03 00000180
1 9fc00d28 09 0000000c
1 9fc00d2c 07 0000000d
1 9fc00d30 04 0000000a
1 9fc00d38 08 00000002
1 9fc00d3c 05 00000003
1 9fc00d40 06 00000007
1 9fc00d44 09 0000000f
1 9fc00d48 07 00000006
1 9fc00d4c 02 0000009c
1 9fc00d5c 08 00000014
1 9fc00d60 03 000000b0
1 9fc00d64 04 00000209
1 9fc00d6c 05 00000015
1 9fc00d70 02 0000021e
1 9fc00d7c 06 0000005a
1 9fc00d80 08 00000278
1 9fc00d88 0a 00000003
1 9fc00d8c 03 0000000d
1 9fc00d90 05 0000000f
1 9fc00d98 09 00000002
1 9fc00d9c 04 00000001
1 9fc00da0 07 00000007
1 9fc00da4 03 00000004
1 9fc00da8 08 00000006
1 9fc00dac 06 000000ff
1 9fc00db0 0a 00000097
1 9fc00db4 12 00000010
1 9fc00db8 02 00000027
1 9fc00dc8 05 0000001e
1 9fc00dcc 09 00000045
1 9fc00dd8 07 00000144
1 9fc00ddc 04 00000007
1 9fc00de0 02 0000014b
1 9fc00dec 05 00000018
1 9fc00df0 09 00000163
1 9fc00df8 07 00000007
1 9fc00dfc 03 0000000d
1 9fc00e00 06 0000000a
1 9fc00e08 08 00000002
1 9fc00e0c 02 00000008
1 9fc00e10 04 00000007
1 9fc00e14 03 0000000c
1 9fc00e18 07 00000006
1 9fc00e1c 18 9fc01ca0
1 9fc00e20 0f 9fc01ce0
1 9fc00e24 0e 9fc01d20
1 9fc00e28 0d 9fc01d60
1 9fc00e2c 09 0000005b
1 9fc00e3c 05 00000014
1 9fc00e40 06 0000006f
1 9fc00e4c 02 00000106
1 9fc00e50 06 00000010
1 9fc00e54 04 00000038
1 9fc00e58 09 0000013e
1 9fc00e64 08 00000048
1 9fc00e68 07 00000186
1 9fc00e74 0b 9fc023b0
1 9fc00e78 14 00000040
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc023e0
1 9fc00e84 11 9fc017e0
1 9fc00e88 10 9fc017e4
1 9fc00e8c 1f 9fc017e8
1 9fc00e94 19 9fc017ec
1 9fc00ca8 0e 0000000a
1 9fc00cac 0f 0000000d
1 9fc00cb0 0d 00000007
1 9fc00cb8 08 00000000
1 9fc00cbc 05 00000006
1 9fc00cc0 07 00000001
1 9fc00cc4 03 00000005
1 9fc00cc8 09 00000003
1 9fc00ccc 06 000000e2
1 9fc00cd0 0a 000001c5
1 9fc00cd4 0b 9fc023e8
1 9fc00cd8 12 00000008
1 9fc00cdc 18 9fc01c98
1 9fc00ce0 0f 9fc01cd8
1 9fc00ce4 0e 9fc01d18
1 9fc00ce8 02 00000082
1 9fc00cf8 0d 9fc01d58
1 9fc00cfc 04 00000000
1 9fc00d00 08 00000082
1 9fc00d04 04 00000164
1 9fc00d0c 05 00000006
1 9fc00d10 02 0000016a
1 9fc00d1c 06 0000000f
1 9fc00d20 03 00000179
1 9fc00d28 09 0000000c
1 9fc00d2c 07 0000000d
1 9fc00d30 04 0000000a
1 9fc00d38 08 00000000
1 9fc00d3c 05 00000003
1 9fc00d40 06 00000001
1 9fc00d44 09 0000000f
1 9fc00d48 07 00000003
1 9fc00d4c 02 0000009c
1 9fc00d5c 08 00000000
1 9fc00d60 03 0000009c
1 9fc00d64 04 00000261
1 9fc00d6c 05 00000003
1 9fc00d70 02 00000264
1 9fc00d7c 06 0000002d
1 9fc00d80 08 00000291
1 9fc00d88 0a 00000003
1 9fc00d8c 03 0000000d
1 9fc00d90 05 0000000f
1 9fc00d98 09 00000000
1 9fc00d9c 04 00000001
1 9fc00da0 07 00000001
1 9fc00da4 03 00000004
1 9fc00da8 08 00000003
1 9fc00dac 06 00000116
1 9fc00db0 0a 000000c1
1 9fc00db4 12 00000010
1 9fc00db8 02 00000027
1 9fc00dc8 05 00000000
1 9fc00dcc 09 00000027
1 9fc00dd8 07 0000013d
1 9fc00ddc 04 00000001
1 9fc00de0 02 0000013e
1 9fc00dec 05 0000000c
1 9fc00df0 09 0000014a
1 9fc00df8 07 00000007
1 9fc00dfc 03 0000000d
1 9fc00e00 06 0000000a
1 9fc00e08 08 00000000
1 9fc00e0c 02 00000008
1 9fc00e10 04 00000001
1 9fc00e14 03 0000000c
1 9fc00e18 07 00000003
1 9fc00e1c 18 9fc01ca0
1 9fc00e20 0f 9fc01ce0
1 9fc00e24 0e 9fc01d20
1 9fc00e28 0d 9fc01d60
1 9fc00e2c 09 0000005b
1 9fc00e3c 05 00000000
1 9fc00e40 06 0000005b
1 9fc00e4c 02 0000011c
1 9fc00e50 06 00000010
1 9fc00e54 04 00000008
1 9fc00e58 09 00000124
1 9fc00e64 08 00000024
1 9fc00e68 07 00000148
1 9fc00e74 0b 9fc023f0
1 9fc00e78 14 00000080
1 9fc00e7c 0b 00000100
1 9fc00e80 0c 9fc02420
1 9fc00e84 11 9fc01820
1 9fc00e88 10 9fc01824
1 9fc00e8c 1f 9fc01828
1 9fc00e94 19 9fc0182c
